title,description
プリウスのバンパーオーバーハングの数値は何ですか？,"こちらの表をご覧ください。

＜単位：約 mm＞

 
仕様
バンパーオーバーハング

フロント（A）
全車
980

リヤ（B）
全車
870

※
数値は燃料満タン、人が乗車せず、荷物が積まれていない「空車状態」をご案内しております。
数値は、測定方法などで異なりますので、目安としてご覧ください。"
GRカローラの最高速度は何ですか？,"こちらの表をご覧ください。

＜単位：km/h＞

種類
最高速度

全車
180（推定）

※
数値は届出値をご案内しております。燃料量、乗車人数、荷物の重さ、荷物を載せる位置などによって数値は異なりますので、目安としてご覧ください。"
クラウンのグレード名やパッケージ名の意味は何ですか？,"こちらの表をご覧ください。

グレード名 および パッケージ名
意味

英語スペル
カタカナ

CROSSOVER RS ”Advanced""
クロスオーバー アールエス アドバンスト
グレードの特長である「上級・上質」を表現しました。

CROSSOVER RS
クロスオーバー アールエス
RUNABOUT SPORTの頭文字を取りました。

CROSSOVER G ""Advanced・Leather Package""

クロスオーバー ジー アドバンスト レザーパッケージ

グレードの特長である「上級・上質＆本革」を表現しました。

CROSSOVER G ”Advanced""
クロスオーバー ジー アドバンスト
グレードの特長である「上級・上質」を表現しました。

CROSSOVER G ""LeatherPackage""
クロスオーバー ジー レザーパッケージ
グレードの特長である「本革」を表現しました。

CROSSOVER G
クロスオーバー ジー
Grand（グランド）の頭文字を取りました。

CROSSOVER X
クロスオーバー エックス
EXTRAのXを取りました。"
bZ4Xの電気が不足した場合、ドライブ中にどのような対処方法がありますか？,"ロードサービスを依頼して、最寄りの充電ステーションまでレッカー移動し、充電を行ってください。
（ロードサービスへの保険適用については、各損害保険会社にお問い合わせください。）"
C+walk Tを運転する際に、免許は必要ですか？,"必要ありません。
また、ヘルメットを装着する義務はありません。"
MIRAIの燃料電池、駆動用バッテリー、高圧水素タンク、モーターの保証期間は何年または何キロですか？,"・燃料電池・駆動用バッテリー・高圧水素タンク・モーターは特別保証に該当し、保証期間は新車登録時から５年、または走行距離で１０万㎞のどちらか早い方です。
・高圧水素タンクについては、製造から15年での交換が高圧ガス保安法で定められています。"
ハイラックスにマニュアル車の設定がない理由は何ですか？また、将来的に発売する予定はありますか？,昨今は、タクシーや営業車等もオートマチックの時代になっており、オートマチックの設定といたしました。レジャー等プライベートユースでのマニュアル車の設定等、今後、お客様のご要望によっては検討させていただきたいと思います。
C+walk Tの満充電時の走行距離はどれくらいですか？,"約16㎞走行できます。
＜測定条件＞
体重70kgの搭乗者が6km/hで定常走行した場合（気温20℃，平坦路）

※
上記数値は決められた測定条件によって計測されており、車両の状態、路面状況、気象状況、測定方法などで異なりますので、目安としてご覧ください。"
プリウスのリヤシートを前倒しした際、荷室とリヤシート背面はフラットになるのでしょうか？,"こちらの表をご覧ください。

ハイブリッド車
スペアタイヤ装着車
フラットになります。

スペアタイヤ非装着車
標準仕様ではフラットになりません。
販売店装着オプションのデッキボードを装着すると、フラットにすることができます。

プラグインハイブリッド車
フラットになります。

 

※
販売店装着オプションのデッキボード装着時のイメージ写真です。"
アクアのバンパーオーバーハングの数値はどれくらいですか？,"こちらの表をご覧ください。

＜単位：約 mm＞

 
仕様
バンパーオーバーハング

フロント（A）
GR SPORT
840

上記以外
820

リヤ（B）
GR SPORT
650

上記以外
630

※
数値は燃料満タン、人が乗車せず、荷物が積まれていない「空車状態」をご案内しております。
数値は、測定方法などで異なりますので、目安としてご覧ください。"
クラウンの4WDシステムはどのような種類で、トルク配分はどのようになっていますか？,"こちらの表をご覧ください。

2.4L（E-Four Advanced)

電気式4WDで、さまざまな走行状態に応じて前後輪トルク配分を100:0～20:80の間で制御します。
発進時、直進加速時は、車両のピッチングを抑え、ダイレクトな加速感が得られるように、60:40～40:60程度で制御。
コーナーリング時には車速、舵角などの情報を用いて、
走行状態に合わせた駆動力配分とすることで優れた操縦安定性に寄与します。
ステアリングの切り始めから旋回中はほぼ50:50の駆動力配分とし、コーナー脱出時はリヤよりの駆動力配分(50:50～20:80）とすることで、トラクション性能の確保や車両のピッチングの抑制をしながら、狙った通りのラインをトレースできる旋回フィーリングを実現しています。

2.5L（E-Four)
電気式4WDで、前後輪トルク配分を100:0～20:80の間で制御します。 さまざまな走行状態に応じて、FF（前輪駆動）走行状態から4WD（4輪駆動）走行状態まで自動的に制御し、燃費および安定した操縦性・走行の安定性を向上させます。"
クラウンのアクセサリーコンセント（AC100V・1500W）での給電可能時間はどれくらいですか？,"燃料を満タンにして、停車中に消費電力400Wで供給した場合、2.4L仕様は約5.2日、2.5L仕様は約6.2日です。

※
使用条件などにより異なるため、あくまで目安となります。"
bZ4Xの緊急時に待避走行が可能かどうか、またその際にどれくらいの距離を移動できるのでしょうか？,"故障の原因にもよりますが、路肩までの移動程度の走行は可能です。
移動距離については、走行状況・故障内容により異なるため、一概には言えません。"
ヴォクシーのバンパーオーバーハングの数値はどれくらいですか？,"こちらの表をご覧ください。

＜単位：約 mm＞

 
仕様
バンパーオーバーハング

フロント（A）
全車
895

リヤ（B）
全車
950

※
数値は燃料満タン、人が乗車せず、荷物が積まれていない「空車状態」をご案内しております。
数値は、測定方法などで異なりますので、目安としてご覧ください。"
ノアのバンパーオーバーハングの数値は何ですか？,"こちらの表をご覧ください。

＜単位：約 mm＞

 
仕様
バンパーオーバーハング

フロント（A）
全車
895

リヤ（B）
全車
950

※
数値は燃料満タン、人が乗車せず、荷物が積まれていない「空車状態」をご案内しております。
数値は、測定方法などで異なりますので、目安としてご覧ください。"
GR86のフロント・リヤバンパーとエアスパッツの材質は何ですか？また、地面からの寸法はどれくらいですか？,"こちらの表をご覧ください。

＜単位：約 mm＞

部品名称
材質
地面から部品までの最小寸法＊1

フロント
フロントバンパー
ポリプロピレン
160

エアスパッツ＊2
ポリプロピレン+
EPDM（エチレンプロピレンゴム）
140

リヤ
リヤバンパー
ポリプロピレン
185

エアスパッツ＊2
ポリプロピレン+
EPDM（エチレンプロピレンゴム）
145

＊1
数値は燃料満タン、人が乗車せず、荷物が積まれていない「空車状態」をご案内しております。
燃料量、乗車人数、荷物の重さ、荷物を載せる位置などによって数値は異なりますので、目安としてご覧ください。
＊2
フロント（リヤ）タイヤ前にあるスパッツです。タイヤ部の空気の流れの整流化による空力向上させるものです。"
カローラクロスの4WD (E-Four) システムはどのような特徴があり、トルク配分はどのようになっていますか？,"E-Four（電気式4WDシステム）といい、機械式4WDとは機構および性能が異なるシステムです。
さまざまな走行状態に応じてFF（前輪駆動）走行状態から4WD（4輪駆動）走行状態まで自動的に制御し、
安定した操縦性・走行の安定性および燃費の向上に寄与するものです。
トルク配分は、発進時は常に、前輪8：後輪2で発進し、坂路を検知すると更に必要な分だけ、自動的に後輪のトルクを上げます。（最大 前輪4：後輪6）

＊
70km/h以上では、前輪駆動となり、後輪のアシストはなくなります。
＊
駆動方式は、グレードにより異なります。ハイブリッド車のZ・S・GグレードにE-Fourの設定があります。"
カローラクロスの新車購入時に付属するキーは何本で、どのような種類がありますか？,"こちらの表をご覧ください。

システム名称
キーの種類
図
新車購入時についてくるキーの本数

スマートエントリー＆スタートシステム
スマートキー
　A: 電子キー
　B: メカニカルキー

2個

ワイヤレスドアロックリモートコントロール＆
スタートシステム

スマートキー＊
　A: 電子キー
　B: メカニカルキー

2個

＊
ドア、バックドアの施錠・解錠は、キーのワイヤレスボタン操作が必要です。エンジンの始動方法はプッシュスタート式になります。"
C+walk Tのバッテリーを1回充電するのに必要な時間はどれくらいですか？,ゼロから満充電にするのに必要な時間は、約2.5時間です。
カムリの4WD（E-Four）システムはどのような特徴があり、トルク配分はどのようになっていますか？,"E-Four（電気式4WDシステム）は、機械式4WDとは機構および性能が異なります。
さまざまな走行状態に応じて、FF（前輪駆動）走行状態から4WD（4輪駆動）走行状態まで自動的に制御し、
安定した操縦性・走行の安定性および燃費の向上に寄与するものです。
トルク配分は、発進時は前輪：後輪＝8：2＊で発進します。
加速時、坂路、滑りやすい雪道など路面状況を検知すると、無駄なくスムーズにトルクを上げ、FFから4WDに切り替えます。（最大 前輪2：後輪8＊）
一定車速（70km/h＊）以上では、前輪駆動となり、後輪のアシストはなくなります。

＊
作動条件が様々ありますので、条件を満たしていない場合はこの数値にならない場合があります。"
ハイラックスのドアミラーが格納時・全開時、およびドア全開時の最大幅は何ですか？,"Z、Xはドアミラーを格納した状態の最大幅が車両全幅の約1,855mmです。
Z""GR SPORT""はドアミラーを格納した状態の最大幅が車両全幅の約1,900mmです。
全車ドアミラーを全開した状態の最大幅が約2,105mm、ドアを全開時の最大幅は約3,550ｍｍです。

※
数値は参考値をご案内しております。車両の状態や測定方法などで異なりますので、目安としてご覧ください。"
カローラスポーツの各ガラスの紫外線カット率はどれくらいですか？,"紫外線については、全てのガラスで90％以上のカット率を実現しています。
（フロントウィンドシールドガラスは、合わせガラスのため、99％以上のカット率を実現しています。）"
C+walk Sの室内に荷物を積むことは可能ですか？,"一般的なスーパーの買い物カゴ（33L・20kg）を、シートの下へそのまま積むことができます。

 
＜ラゲージスペースの寸法＞

＜単位：約 ｍｍ＞

位置
幅
高さ
奥行き

入れ口
384
288
－

底面
336
78
414

※
数値は参考値をご案内しております。モビリティの状態や測定方法などで異なりますので、目安としてご覧ください。"
プリウスにはUSB端子が装備されていますか？また、その形状、A数、および装着位置を教えていただけますか？,"充電用USB端子は、全車に 3個（センターコンソール前部1個・コンソールボックス内側2個） 標準で装着されています。
ディスプレイオーディオの通信用USB端子は、
ディスプレイオーディオ（コネクティッドナビ対応）Plus、ディスプレイオーディオ（コネクティッドナビ対応）付車に対し、
センターコンソール前部に1個 標準で装着されています。
 
充電用USB端子、通信用USB端子ともに、USBの形状はType-Cで、1口あたり 最大DC5V／3.0Aの電力供給に対応しています。"
RAV4のディスプレイオーディオレス選択時には、バックカメラが装着されており、ガイド線も表示されますか？,"こちらの表をご覧ください。

グレード
回答

X
ディスプレイオーディオレスを選択した場合は、バックカメラが同時装着されます。
バックカメラを装着した際、ガイド線は表示されます。

上記以外
ディスプレイオーディオレスの設定がありません。

※
バックカメラを使用するには、販売店装着オプションのナビゲーションを装着する必要があります。
ガイド線については、販売店装着のナビゲーションを装着していただくと、「予想進路線」「車幅延長線」「距離目安線」が表示され、バックガイドモニターとしてお使いいただけます。"
シエンタのE-Four（4WD）モデルのフロアには出っ張りがありますか？,"E-Fourにはプロペラシャフトがないため、フロア面の出っ張りはありません。（フロア面の高さは2WD仕様と同じです。）
＊駆動方式は、グレードにより異なります。
　ハイブリッド車のZ・G・XグレードにE-Fourの設定があります。"
GR86の最低地上高はどの位置で測定されていますか？,"こちらの表をご覧ください。

＜単位：mm＞

種類
最低地上高の測定位置

最低地上高（社内測定値）

全車
エンジンアンダーカバー
130

※
数値は燃料満タン、人が乗車せず、荷物が積まれていない「空車状態」をご案内しております。
燃料量、乗車人数、荷物の重さ、荷物を載せる位置などによって数値は異なりますので、目安としてご覧ください。"
カローラクロスのスピーカーの口径、W数、および取り付け位置は何ですか？,"こちらの表をご覧ください。

＜オーディオ種類＞

9インチディスプレイオーディオ
6スピーカー

7インチディスプレイオーディオ
4スピーカー

2スピーカー

 
＜スピーカー＞

スピーカー数
名称
種類
搭載位置
口径
耐入力

（cm）
定格（W）
最大（W）

6スピーカー
フロントスピーカー
フルレンジ
（左右）フロントドアトリム
16
20
40

リヤスピーカー
フルレンジ
（左右）リヤドアトリム
16
20
40

ツイーター
←
（左右）インストルメントパネル上面
2.5
20
30

4スピーカー
フロントスピーカー
フルレンジ
（左右）フロントドアトリム
16
20
40

リヤスピーカー
フルレンジ
（左右）リヤドアトリム
16
20
40

2スピーカー
フロントスピーカー
フルレンジ
（左右）フロントドアトリム
16
20
40

※
数値は参考値をご案内しております。測定方法などで異なりますので、目安としてご覧ください。"
C+walk Tのバッテリー充電方法は何ですか？,"脱着式のバッテリーとなりますのでモビリティからバッテリーを取りはずしていただき、
専用の充電器（＝付属品）を使用して家庭用コンセント（AC100V）に接続して充電してください。"
カムリのバンパーオーバーハングの数値はどれくらいですか？,"こちらの表をご覧ください。
＜単位：約 mm＞
種類
バンパーオーバーハング

フロント　（Ａ）
WS""レザーパッケージ”、WS
1,000

G""レザーパッケージ”、G、X
975

リヤ　（Ｂ）
全車
1,085

※数値は燃料満タン、人が乗車せず、荷物が積まれていない「空車状態」をご案内しております。
  数値は、測定方法などで異なりますので、目安としてご覧ください。"
C+podの最高速度は何ですか？,"こちらの表をご覧ください。

＜単位：km/h＞

駆動方式
最高速度

後輪駆動
60（推定）

※
数値は届出値をご案内しております。乗車人数、荷物の重さ、荷物を載せる位置などによって数値は異なりますので、目安としてご覧ください。"
MIRAIのエアコン使用時に航続可能距離が短くなることはありますか？,"使用環境（気象、渋滞等）や運転方法（急発進、エアコン使用等）により異なりますので、一概には申し上げられません。
一般的にはエアコンその他の影響を含めて、夏場よりも冬場の方が航続距離が短くなる傾向となります。"
ルーミーの4WDシステムはどのような種類で、トルク配分はどのようになっていますか？,"Ｖフレックスフルタイム4WDといい、道路の状況などによって4WDに切り替わるシステムです。
トルク配分は、前輪100:後輪0（2WDに近い状態）から前輪50:後輪50（4WD）の間で変動します。
 
＊駆動方式は、グレードにより異なります。
　カスタムG・G・Xグレードに４WDの設定があります。"
GRヤリスの最低地上高はどの位置で測定されていますか？,"こちらの表をご覧ください。

＜単位：mm＞

駆動方式
最低地上高の測定位置
最低地上高
（社内測定値）

2WD
フロアアンダーカバー
140

4WD
エンジンサイドカバー
130

※
数値は燃料満タン、人が乗車せず、荷物が積まれていない「空車状態」をご案内しております。
燃料量、乗車人数、荷物の重さ、荷物を載せる位置などによって数値は異なりますので、目安としてご覧ください。"
カローラスポーツのドアミラー格納時・全開時、およびドア全開時の最大幅は何ですか？,"ドアミラーを格納した状態の最大幅が約1,820mm、ドアミラーを全開した状態の最大幅が約2,080mmです。
ドアを全開時の最大幅は約3,605mmです。

数値は参考値をご案内しております。車両の状態や測定方法などで異なりますので、目安としてご覧ください。"
カムリの工場装着アクセサリーコンセントとスペアタイヤは、どのような理由で同時装着ができないのですか？,"アクセサリーコンセント AC100V・1500Wの電源を供給するインバーターが、
スペアタイヤが収納される場所に搭載されるため、同時装着が出来ません。"
プリウスの4WDシステムはどのような種類で、トルク配分はどのようになっていますか？,"E-Four（電気式4輪駆動方式）といい、機械式4WDとは機構および性能が異なるシステムです。
様々な走行状態に応じてFF（前輪駆動）走行状態から4WD（4輪駆動）走行状態まで自動的に制御し、
安定した操縦性・走行の安定性および燃費の向上に寄与するものです。
発進時は常に前後輪の荷重配分相当（おおよそフロント60：リヤ40）の割合で分配し、
坂路を検知すると更に必要な分だけリヤトルクを上げます。（最大フロント20：リヤ80）
通常走行時は4WD走行が不要と判断すればFFで走行し燃費向上に寄与します。
スリップ時や旋回時などの走行状態に応じて最大フロント20：リヤ80まで分配します。

※
E-Fourはハイブリッド車の全車に設定があります。"
GRカローラの4WDシステムはどのような種類で、トルク配分はどのようになっていますか？,"特徴とトルク配分
4WDモード切替スイッチで後輪への駆動力配分を変えることが出来る、電子制御4WDです。
ドライバーの好みや走行シーンに合わせて異なる車両挙動を提供し、街乗りからスポーツ走行まで様々な環境で高いトラクションと操縦安定性に寄与するシステムです。

4WDモードによって3種類のトルク基本配分を行います。
・GR-FOUR 60：40…前輪60：後輪40
・GR-FOUR 30：70…前輪30：後輪70
・TRACK…前輪50：後輪50"
アクアのグレード名やパッケージ名の意味は何ですか？,"こちらの表をご覧ください。

グレード名
意味

GR SPORT

「GR」は、「Gazoo Racing（ガズー・レーシング）」の頭文字です。
「SPORT」は、GRよりも、ライフスタイルに合わせて選べる「拡販スポーツモデル」という意味合いで、付与しました。

Ｚ
アルファベット最後の「Z」、それ以上ない至高の意味合いです。

Ｇ
GRAND（主要な、立派な）の意味合いです。

Ｘ
EXTRA（その他）の意味合いです。

Ｂ
BUSINESS（ビジネス）の意味合いです。"
ヴォクシーにはUSB端子が搭載されていますか？また、その形状、A数、および装着位置について教えていただけますか？,"こちらの表をご覧ください。

種類
グレード
USBポートの形状
供給量
ポート数
装着位置

充電用USB端子
S-Z（全車）
Type-C
最大DC5V/3A
3口（標準装備）
1口：シフト横小物入れ
2口：セカンドシートサイドテーブル

S-G（ハイブリッド車）
3口（標準装備）
1口：シフト横小物入れ
2口：コンソールボックス後部

S-G（ガソリン車）

1口（標準装備）
もしくは
3口（上記 + 2口
＜メーカーパッケージオプション＞）

1口：シフト横小物入れ
2口：コンソールボックス後部
＜メーカーパッケージオプション＞

通信用USB端子＊
全車
Type-A
最大DC5V/1.5A
1口（標準装備）
シフト横小物入れ

＊
ディスプレイオーディオ（コネクティッドナビ対応）Plus、ディスプレイオーディオ（コネクティッドナビ対応）に機器を接続するためのUSB端子です。"
C+walk Tは後退走行が可能ですか？,"バック（後退）できます。
バックボタンを押していただくことで、バック（後退）し、離すと停止します。
なお、後退速度は約1km/hで固定となり、速度は変更できません。"
ランドクルーザーの4WDシステムはどのような種類で、トルク配分はどのようになっていますか？,"常に4つのタイヤに駆動力を伝えて走るフルタイム4WDです。
路面状況や走行状態に反応して、前後のトルク配分をコントロールする、トルセンLSD付トランスファーを採用しています。
通常時のトルク配分 「 前輪40：後輪：60 」 を、旋回加速時にはリヤ寄りにして優れたコーナリング性能を発揮します。
前後輪のいずれかがスリップした際にも瞬時に他方にトルクを配分し、車両の操縦性と安定性を向上させています。"
C+podのシート座面から天井までの高さ（ヘッドクリアランス）はどれくらいですか？,"こちらの表をご覧ください。

＜単位：約 mm＞

座席
シートの種類
シート座面から天井までの高さ（ヘッドクリアランス）

運転席
マニュアルシート
945

助手席＊
マニュアルシート
945

※
数値は参考値をご案内しております。車両の状態や測定方法などで異なりますので、目安としてご覧ください。　
＊
助手席は1人乗り車両には設定がありません。"
MIRAIの電磁波は、ガソリン車と比較して多いのでしょうか？,"従来の車や家電製品と比べて、電磁波が多いということはありません。
高電圧部位や高電圧配線は、電磁シールド構造になっています。"
ハイラックスのテールゲート開閉時における、軌跡上での最大長さは何ですか？,"こちらの表をご覧ください。

 
Z""GR SPORT""
Z、X

テールゲート開閉時、
テールゲートが描く軌跡の上での最大の長さ＊
約5,725mm （ 全長 ＋ 約 405mm（下図：A寸法））
約5,745mm （ 全長 ＋ 約 405mm（下図：A寸法））

車両の全長
5,320mm
5,340mm

＊
数値は参考値をご案内しております。車両の状態や測定方法などで異なりますので、目安としてご覧ください。
 
 

※
写真は当該車両ではありません。"
C+walk Sはショッピングセンターや電車・バスなどの公共交通機関での利用が可能ですか？,"施設や交通機関での利用可否は、各施設や会社での判断となりますので、各施設や各社へご確認いただくようお願いいたします。
なお、施設内では、事故のないようにスピードを落として周りに十分注意してご利用ください。"
C+walk Tの乗員に対する身長や体重の制限は何ですか？,"身長は、140cm未満の方、または185cmを超える方はご使用しないでください。
乗車姿勢が適切でないことにより、ハンドル操作性が悪化し、安定性が低下する恐れがあります。
体重は、乗員の体重と着衣および荷物の合計が100kgをこえる場合はご使用しないでください。
バランスを崩して転倒しやすくなったり、モビリティが故障・破損したりする恐れがあります。"
C+walk Sを運転する際に、免許やヘルメットは必要でしょうか？,"道路交通法では、歩行者扱いのため、免許は必要ありません。
また、ヘルメットを装着する義務はありません。"
C+walk Sのバッテリーを1回充電するのに必要な時間はどれくらいですか？,"ゼロから満充電にするのに必要な時間は、約2.5時間です。

※
お客様の使用環境などで異なりますので、数値は目安としてご覧ください。"
GR86の最高速度は何ですか？,"こちらの表をご覧ください。

＜単位：km/h＞

種類
最高速度

全車
180 （推定）

※
数値は届出値をご案内しております。燃料量、乗車人数、荷物の重さ、荷物を載せる位置などによって数値は異なりますので、目安としてご覧ください。"
C+walk Tの保証期間は何ですか？,メーカー保証はお買い上げ日から1年間（走行距離無制限）です。
C+podの1500Wアクセサリーコンセントでの給電可能時間はどれくらいですか？,"満充電にして、停車中に消費電力400Ｗで供給した場合、約10時間です。
※使用条件などにより異なるため、あくまで目安となります。
※アクセサリーコンセントは全車標準ですが、レスオプションの選択ができます。"
GRヤリスの4WDシステムはどのような種類で、トルク配分はどのようになっていますか？,"4WDモード切替スイッチで、後輪への駆動力配分を変えることが出来る電子制御4WDです。
ドライバーの好みや走行シーンに合わせて異なる車両挙動を提供し、
街乗りからスポーツ走行まで様々な環境で高いトラクションと操縦安定性に寄与するシステムです。
 
4WDモードによって3種類のトルク基本配分を行います。
・NORMAL…前輪60：後輪40
・SPORT…前輪30：後輪70
・TRACK…前輪50：後輪50

※駆動方式は、グレードにより異なります。RZ  “High performance”グレード、および、RZグレードの駆動方式が4WDです。"
ヤリスクロスの新車購入時に付属するキーの本数と種類は何ですか？,"こちらの表をご覧ください。

システム名称
キーの種類
図
新車購入時についてくるキーの本数

スマートエントリー＆スタートシステム
スマートキー
A：電子キー
B：メカニカルキー

2個"
ハイラックスのデッキ（荷台）の容量（VDA法）および寸法はどれくらいですか？,"こちらの表をご覧ください。
＜容量（VDA法）＞

＜単位：約 リットル＞

駆動方式
種類
容量

4WD（全車）
デッキスペース
994

 
＜寸法＞

※
数値は参考値をご案内しております。お荷物によっては搭載できない場合もございます。
荷物が搭載できるかどうかにつきましては、トヨタ販売店で実車にてご確認ください。

＜単位：約 mm＞

 
種類
測定位置
寸法
図

長さ
最大
全車
バックパネル～テールゲート（床面）
1,565
①

最小
全車
タイヤハウス～テールゲート
750
②

幅
最大
全車
サイドゲート間
1,380
③

最小
全車
タイヤハウス間
1,105
④

高さ
最大
全車
フロア面～ゲート上面
480
⑤

最小
全車
タイヤハウス上面～ゲート上面
270
⑥

※
数値は参考値をご案内しております。車両の状態や測定方法などで異なりますので、目安としてご覧ください。"
C+walk Sの乗員に対する身長や体重の制限は何ですか？,"身長は、140cm未満の方、または185cmを超える方はご使用しないでください。
乗車姿勢が適切でないことにより、ハンドル操作性が悪化し、安定性が低下する恐れがあります。
体重は、乗員の体重と着衣および荷物の合計が100kgを超える場合はご使用しないでください。
バランスを崩して転倒しやすくなったり、モビリティが故障・破損したりする恐れがあります。"
ヤリスクロスの工場装着スピーカーの口径、W数、および取付位置は何ですか？,"こちらの表をご覧ください。

＜オーディオ種類＞

8インチディスプレイオーディオ
6スピーカー

7インチディスプレイオーディオ
2スピーカー

＜スピーカー＞

スピーカー数
名称
種類
搭載位置
口径
耐入力

（cm）
定格（W）
最大（W）

6スピーカー
フロントスピーカー
フルレンジ
（左右）フロントドアトリム
16
20
40

リヤスピーカー
フルレンジ
（左右）リヤドアトリム
16
20
40

ツィーター
←
（左右）フロントピラー
2.5
20
40

2スピーカー
フロントスピーカー
フルレンジ
（左右）フロントドアトリム
16
20
40

※
数値は参考値をご案内しております。測定方法などで異なりますので、目安としてご覧ください。"
C+walk Sを購入する際に消費税は適用されますか？,"モビリティ本体は、非課税です。また、モビリティと同時購入する販売店装着オプションも、非課税扱いです。
なお、モビリティ本体購入時以外に、販売店オプションを購入、取付いただく場合は、課税となります。"
ハイラックスのテールゲートを開けた際、地面から荷室フロア面までの高さはどれくらいですか？,"こちらの表をご覧ください。

＜テールゲートを開けた時の地面から荷室のフロア面までの高さ寸法＞

＜単位：約 mm＞

寸法

845

※
数数値は燃料満タン、人が乗車せず、荷物が積まれていない「空車状態」をご案内しております。
燃料量、乗車人数、荷物の重さ、荷物を載せる位置などによって数値は異なりますので、目安としてご覧ください。"
ハイラックスの補機バッテリーの型式は何ですか？,"こちらの表をご覧ください。

仕様
①
バッテリータイプ
（サイズ区分）
②
容量（Ah アンペアアワー）
（20時間率）
③
CCA
（コールドクランキングアンペア）
④
排気タイプ

標準仕様（全車）
LN4-ISS
（欧州規格）
80Ah
630A
各セル排気タイプ
（液栓あり）

※
補機バッテリーを交換する場合は、①～④を全て満たすものを選択してください。"
C+walk Tの障害物検知機能とは、どのような機能ですか？,"走行時、周辺検知センサーが前方約2.5m以内にある人や物などの障害物を検知すると警告音と状態表示パネルへの表示で搭乗者へ通知する、操作サポート機能です。
走行速度と障害物までの距離に応じて速度を抑制、最大で約2km/hまで減速します。検知した障害物がなくなると、速度抑制を解除します。

＊
障害物の手前で停止したり、障害物を自動で回避したりする機能ではありません。
＊
車速2㎞/h以下では機能がはたらきません。"
C+walk Tは段差や溝の走行に対応していますか？,"大きな段差や溝の走行は避けてください。
乗り越える場合には、両手でハンドルをしっかり握り直角にゆっくりと走行してください。
走行できる目安は走行速度6km/h以下で、段差は上りの場合2.5cm、溝は直進で10cmまでとなります。"
C+podの充電ケーブルの保証期間は何ですか？,"こちらの表をご覧ください。

普通充電
充電ケーブル（5m）

標準装備
特別保証
（5年または10万km走行時点のいずれか早い方）

充電ケーブル（15m）
メーカーオプション

電源プラグコード
200V　標準装備
100V　メーカーオプション"
C+walk Sのシート位置は調整可能ですか？,"シートの位置は、購入時に販売店で最後方に設定されています。
シートの位置を調整したいときは、お買い上げ販売店または取り扱い販売店にご相談ください。"
C+walk Sの保証期間はどれくらいですか？,"メーカー保証はお買い上げ日より1年間（走行距離無制限）です。
また、有償にて2年間の延長保証をご用意しております。
延長保証についての詳細は、お買い求めいただいたトヨタ販売店へお問い合わせください。"
C+walk Sの必要なメンテナンスとその実施時期について教えていただけますか？（日常点検、法定点検、定期点検などを含む）,"法定点検はございません。
モビリティの点検には、毎日の使用前に実施する使用前点検と、購入から1年ごとに実施する定期点検がございます。
各点検方法は取扱書をご覧になり、お客様にてご実施ください。
点検の結果、調整などの整備が必要な場合は、お買い求めいただいたトヨタ販売店にご相談ください。
また、定期点検は有償にてトヨタ販売店で承ることもできますので、是非ご利用ください。"
C+walk Sは介護保険レンタルの対象になりますか？,"要介護2以上＊の認定を受けられたお客様は、介護保険制度を利用し、ご負担少なくレンタルすることが可能です。
介護保険の利用は、各市町村の高齢介護福祉課または介護保険課等へご相談ください。

＊
要介護2以上の条件に合わなくとも、承認される場合があります。"
植込み型心臓ペースメーカーや植込み型両心室ペーシングパルスジェネレータ、植込み型除細動器を装着している場合、C+walk Sの使用中に電波の影響はありますか？,"植込み型心臓ペースメーカー、植込み型両心室ペーシングパルスジェネレータおよび植込み型除細動器などの医療用電気機器を装着されている方は、
充電器のご使用にあたっては医師とよくご相談ください。充電器の動作が医療用電気機器に影響を与えるおそれがあります。"
C+walk Sのバッテリー1回の充電にかかる電気代はいくらですか？,"０から満充電にするのにかかる電気代の目安は、約9円/回です。＊

＊
30.57円/kWhで計算した金額です。（東京電力 スタンダードSプラン(関東エリア)301kWh～の電力量料金＜2022年3月現在＞）
また、燃料費調整額、再生可能エネルギー発電促進賦課金は含んでおりません。　

なお、こちらは一例でのご紹介です。ご契約の電力会社や契約内容によって電気代は異なります。
０から満充電するのに必要な電力量は、約0.3kWhです。（社内計算値）
お客様がご契約の電気料金でいくらになるかは、以下の計算方法をご参照ください。
お客様がご契約の1kWhの電気料金の単価×0.3"
C+walk Sの航続可能距離は状態表示パネルで確認することができますか？,"航続可能距離は表示されません。
なお、バッテリー残量は状態表示パネルに表示されます。"
C+walk Sの前照灯が切れた場合、自分で交換できますか？,前照灯は専用品（LED）です。交換については、お取り扱いのトヨタ販売店にご相談ください。
C+walk Sの工場装着タイヤはどのような種類ですか？,自動車用のタイヤではありません。本製品向けに選定したタイヤであり、内部に充填剤を充填したノーパンクタイヤです。
プリウスの充電中に雨が降っても、充電コネクターや充電ケーブルは濡れても問題ありませんか？,"雨の日でも充電できます。
充電口に水が入った場合にも、水が流れ落ちて内部に溜まらない構造となっておりますし、充電コネクターは防水構造を採用しております。
ただし、感電や漏電を防止するために、以下のことにご注意ください。

濡れた手でプラグを抜き差ししない
電源プラグ（接触部）や充電コネクター（接触部）を濡らさない

万が一、プラグや充電コネクターが濡れてしまった時は、布などで拭き取るようにしてください。
また、高圧洗浄機による充電リッド部への直接噴射や、大雨や強風、落雷の可能性がある日などに充電することは避けてください。"
